TradingDate,CallPut,StrikePrice,Quantity
2021-06-17,C,420,10
2021-06-17,P,420,18
2021-06-17,C,430,0
2021-06-17,P,430,7
2021-06-17,C,440,0
2021-06-17,P,440,28
2021-06-17,C,450,8
2021-06-17,P,450,70
2021-06-17,C,460,1
2021-06-17,P,460,69
2021-06-17,C,470,0
2021-06-17,P,470,50
2021-06-17,C,480,1
2021-06-17,P,480,109
2021-06-17,C,490,1
2021-06-17,P,490,241
2021-06-17,C,500,4
2021-06-17,P,500,303
2021-06-17,C,510,4
2021-06-17,P,510,185
2021-06-17,C,520,21
2021-06-17,P,520,72
2021-06-17,C,530,5
2021-06-17,P,530,82
2021-06-17,C,535,1
2021-06-17,P,535,33
2021-06-17,C,540,4
2021-06-17,P,540,91
2021-06-17,C,545,4
2021-06-17,P,545,34
2021-06-17,C,550,11
2021-06-17,P,550,88
2021-06-17,C,555,2
2021-06-17,P,555,38
2021-06-17,C,560,12
2021-06-17,P,560,51
2021-06-17,C,565,1
2021-06-17,P,565,12
2021-06-17,C,570,16
2021-06-17,P,570,27
2021-06-17,C,575,3
2021-06-17,P,575,42
2021-06-17,C,577.5,1
2021-06-17,P,577.5,19
2021-06-17,C,580,5
2021-06-17,P,580,67
2021-06-17,C,582.5,0
2021-06-17,P,582.5,5
2021-06-17,C,585,2
2021-06-17,P,585,56
2021-06-17,C,587.5,0
2021-06-17,P,587.5,7
2021-06-17,C,590,11
2021-06-17,P,590,142
2021-06-17,C,592.5,0
2021-06-17,P,592.5,38
2021-06-17,C,595,8
2021-06-17,P,595,82
2021-06-17,C,597.5,25
2021-06-17,P,597.5,48
2021-06-17,C,600,140
2021-06-17,P,600,196
2021-06-17,C,602.5,17
2021-06-17,P,602.5,15
2021-06-17,C,605,45
2021-06-17,P,605,65
2021-06-17,C,607.5,1154
2021-06-17,P,607.5,53
2021-06-17,C,610,142
2021-06-17,P,610,62
2021-06-17,C,612.5,13
2021-06-17,P,612.5,8
2021-06-17,C,615,33
2021-06-17,P,615,10
2021-06-17,C,617.5,13
2021-06-17,P,617.5,11
2021-06-17,C,620,56
